Comment Number,Comment Text
484,Happy 20 years of ▶️YouTube and Jawed 🥳
485,ZOO
486,"Даже не верится, что это самое первое видео на ютубе, снятое 20 лет назад"
487,❤❤❤❤❤
488,20 years ago...
489,Hi
490,0:00 first video on YouTube and the legend who is born
491,is tough to accept that reads 20 years ago
492,Wow it’s been so many years I can't believe it ❤🎉
493,Happy 20 years youtube :)
494,Welcome to 2025 🎉❤😊
495,"A piece of YouTube history has turned 20 years old. All the best, that's called YouTube history. Does anyone have my opinion? 🎉😊"
496,WAW 20 Years
497,Finally 20 year completed 😮😮😮❤❤
498,سوف اضع تعليقي زكره
499,"I can't believe this video is 20 years old! OMG! Holy cow! Happy 20th birthday, YouTube! ❤️🤍"
500,Me in 2025 🏴‍☠️
501,Jawed pls make a video at Zoo again❤❤❤❤
502,20 years Ago🥲
503,قداش عمره هذا تو؟
504,2025 dekh raha hu 😮😮
505,🎉20 y
506,Happy 20 years
507,Alguien del 2025?
508,first vid❤
509,Hae me on 2025
510,First video in the YouTube 🥇
511,👍 milestone
512,Thank you for your effort to make people happy. I hope you give me a heart on my comment.🥺
513,let’s go 20years 🎉
514,Big fun ❤❤❤
515,❤❤❤
516,YouTube history.
517,Happy 20 birthaday🎉🎉🎉
518,how do u feel about making the 2 elephants famous
519,It's 2025 now omg!!!!! 20years ago !!! You so amaizing
520,iam gonna tell this to my future kids that the first vid on youtube was about a zoo
521,20 tahun cuy
522,Hi
523,"when i saw the ' 20 years ago' i was like "" wait , WHAT """
524,Video ini di upload aku baru berusia 5 tahun
525,"2025, YouTube has come a long way.
Amazing"
526,20 years bro 😅😅
527,Hapy 29 years yt
528,Test.
529,"Happy🎉short of king 👑
World record  short views😮😮"
530,Toujours incroyable de voir ça
531,Hi bhai
532,You 20
533,Happy's🎉
534,❤❤❤❤
535,20 anos !!
536,Terri
537,The white mouse
538,20 years???
539,Happy 20 years of YouTube! ^_^
540,قووووووة
541,Wow thats a long time ago
542,No puedo creer que YouTube ya tengo 20 años
543,I'm 21 now and this video is already 20 year's old yow
544,"Last time i saw this it said 12 years ago and i thought ""man thats a long time ago, now 20 is really strange"
545,Any 2025😂
546,Bro got 5m subscribers with 1 video
547,I think this is a first video in YouTube
548,Guys you know what we need we need a me at the zoo part 2 at the same zoo that would be sick
549,Too my 80 years later
550,Enemy fire
551,Enemy fire
552,Enemy fure
553,20 years HERE WE ARE !!! This is so big
554,Illigal war
555,Jawed
556,Hidden dragon
557,Happy 20 years of you tube dear jawed❤
558,I can't belive comments from just a week ago have like 10K + likes even before some previous years all the recent comments used to have 5K + Likes this truly is a masterpiece
559,"For 2025, IT'S 20 YEARS OLD!🎉"
560,Jaweds' aura +9999
561,Elephants' aura +9999
562,Understanding the owner of that zoo:
563,Youtube recommended me this video in 2025 🎉
564,One video and now your famous
565,OmG is see this vedio 20 years ago😅
566,Awesome
567,for 2025
568,One heart?
569,شلونك
570,Now 2025
571,Cant belive this video is 20 years old..
572,a quien le pego la nostalgia del primer video de youtube
573,The first upload video on Youtube😱
574,20 year ago (
575,최현진 다녀감 정말로
576,Wow
577,Wassup bro?
578,"Dang bro i need the autograph of these elephants 🫡
they're famous bruh"
579,"And that,children,is where it ALL began..."
580,와 이제 20년전이다ㄷㄷ
581,the video that started it all
582,The 20 yards  long ago
583,Anyone in may 2025
584,Thanks for subscribe
585,I was scrolling through YouTube until this video appeared
586,Hopper
587,Holipinio
588,❤
589,Dennis
590,Japenino
591,😂
592,Please upload another video
593,Rutter
594,Gutter
595,one piece 3mk
596,Help
597,Gods needle
598,God
599,Ben
600,Kimiko
601,Punchki
602,Thank you very much.🙏
603,Illegal qar
604,Finally 20 Years Complete First YouTube channel 😢
605,Oil dredge it
606,He still active in YouTube 😅
607,Bro the children sounds at the back i don't know why makes me feel nostalgia😭
608,"No way dude, I just found this in my recommended!"
609,There no way i saw this in the rencomanted
610,Happy 10 day late 20th birthday YouTube and this video
611,Bahut sal😮purana😮😮video😮20vars
612,Jesus is lord 🗣️♥️
613,20 years later
614,Immer wieder schön ❤
615,Bro 20 years is pretty good but yours is kinda good
616,Ooh the first vedio on youtube😮 Amzing.
617,1 wideo in YouTube wow
618,horror 💀💀👽☠️👾20
619,имба
620,❤
621,É você mesmo tápl
622,No way this is 20 years old
623,20 years..
624,Happy 20 Year of YouTube & me🎉
625,2025.05.07
626,Classic.
627,本当に象は、かっこいいですよね😊
628,20 years😢
629,hi
630,First video on YouTube!!!!!🇹🇷
631,🥹🥹
632,ความคิดเห็น10M
633,Bro how old are you now😮😮
634,Omg 20yrs😮😊😊❤
635,20 years AGO??
636,I am Klein Francis Po
637,I can't believe this was 2005 yours?
638,Congratulations for your video 25 years new birthday 🎂🎉🎂😅🎉❤❤❤
639,Nostalgia feels like?
640,please 🥺 comment pin 📌
641,2025😂
642,Can't believe this is 20 years ago
643,Whose in 2025
644,Under the legal drinking age in Freedom Land gang
645,Duniya ki Sabse purani video😮
646,20 years LETS GOO!
647,HAPPY 20 YEARS Youtube 🎉
648,i can't believe it has been two decades
649,"Bro was here before me, Roblox, Minecraft, and fortnite 😂"
650,Bro was here before roblox🗿
651,Someone from 2025
652,Happy 20 years on YouTube ❤
653,Recommended 20 Years later.
654,2005 ---) look 2022 🙏😭
655,❤❤❤❤😊
656,Congratulations 🎉 for 20 years
657,20 Years at YouTube 🎉
658,The first YouTube?
659,Seeing '20years ago' video on youtube  me feel a certain type of way
660,This is the oldest video
661,I’m just leaving this comment so that I can be a part of youtube history.
662,I from Vietnamese hello bro
663,I also leave a message here~~ 😮
664,Before 20 years 😮😮😮😮
665,Tôi là người việt nam
666,Me in 2025 👁️👄👁️
667,Post something bro😂❤
668,2 0  Y E A R S
669,Are there any Japanese people here?
670,20 years...
671,First video on youtube💀
672,Oh....
673,"কে তুমি ভাই,,,একটা ভিডিওতেই এত্তো লাইক😮"
674,Wow bro got 5m subs 520m views on 1 vid
675,U feel old yet?
676,2025👈🏻
677,😮😮😮😮😮😮😮
678,𓇼 ⋆.˚ 𓆉 𓆝 𓆡⋆.˚ 𓇼
679,Such a wholesome meaning behind this video.
680,Congratulations for 20 years 🎉❤
681,I love you😊😊
682,20 year ago❤
683,❤❤❤:)
684,20 years 🎉
685,First Video on YouTube was 20 years ago….😮
686,"This zoo , this elephants 🐘 all are now very famous 🤭
It is 20 years now 😮😮"
687,I just want to post here because it's a legendary place !!
688,Illuminati
689,Jawed reply me please
690,Hi
691,Youtube first video
692,Make a part two
693,Hi
694,2025 مين هون
695,2025 나 다녀감...
696,"When life gets heavy, remember: Jesus carries what you can’t. Like this comment if you trust Him with your battles, and subscribe for faith-filled content to uplift your spirit every day ❤❤❤"
697,"20 years ago that all started, I am so proud that we stayed here for that long time. Thank you"
698,I am come from instagram 😮
699,Who is watching 2025😂
700,20 Years times fly man
701,:0 so amazing
702,bro u is the first vid in youtube
703,Hey javed bro why are you not uploading content on your own platform this masterpiece YOUTUBE. we want answer pls brother reply me ?
704,The first youtube video 😅
705,G-DRAGON
706,It's been 20 years
707,20 years ago is crazy
708,YouTube first video
709,this was filmed when I was 11 days old😳
710,20 years yt😢😮❤❤❤ wow
711,কেমনে কি ভাই 😮😮
712,우와
713,Where are you now bro 😭
714,Whos here in 2025?
715,"This video showed in my list just now and i never searched for this type of video 
After 20 years 🫥"
716,В смысле 20 лет?
717,Anyone from 2025☺️☺️?
718,This video is officially 20 yrs old
719,20주년🎉
720,those elephants are famous now 🗿
721,30/7/2005
722,20 years youruobe❤❤😢😅😅😅
723,20년전...크으으
724,Chúc mừng 20 năm video đầu tiên YouTube ra đời !
725,20 years... Omg
726,"""20 years ago"" I feel old"
727,Hello Jawed!
728,행복하게 해주세요
729,Happy 20 year 🎉
730,"Bro has the oldest YouTube account
Image if he posted Brain rot"
731,It's been 20 years
732,This video came out before I was even born.
733,와 이제 유튜브 20주년이구나! 유튜브야 축하한다!🎉🎉🎉
734,next year its gonna be 21 years ago
735,Iam in the university of YOUTUBE.Happy 20 years of the best invention ever.
736,Indonesia
737,😢❤
738,Este vídeo es histórico.
739,bro plz upload some more 0:01 😢😢
740,I want big
741,"This will happen to my favorite YouTuber, omegaevolution, in 2026, which is why it's been 20 YEARS!"
742,20y holy moly
743,This video will remain as history on youtube!
744,Eeeee🎉
745,Someone from 2025
746,Hihi
747,"이분 자기가 이렇게 유명해 졌다는걸 아실까요?
궁금..."
748,2025 🎉
749,The first video of whole YouTube🤩😀😱
750,كان بامكانك الاستمرار في تصوير فيدوهات
751,2025.5.7
752,Nostalgia video that people found
753,plz love me
754,와 20년 ㄷㄷ
755,Please post more
756,I.m big bug
757,"Telat 20 menit❎
Telat 20 tahun✅"
758,Happy birthday for 20 year❤
759,"I had a great experience
I'll upload a lot of good videos, too"
760,الفيديو عمره 20 سنه❤🎉❤🎉❤
761,2025👇😂
762,Congratulations on 20 years  🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
763,who is here 2027?
764,Time flies fast
765,"Hey Jawed 
We all whant too have a ""me in the zoo Part 2"" pls...,
 
Whos with me?
👇"
766,20周年おめでとう
767,RECORD of The First Ever YouTube Video in the World 🔥🔥🔥
768,20 vears ago☠️☠️☠️
769,Hi
770,I cant belive what is recording this 20 years ago....
771,"“And worst of all, he could be any one of us.""

""He could be in this very room! He could be you. He could be me! He could even be-"""
772,Quien hizo el primer comentario de este video.?
773,Kegabutan maksimal hari ini : ketik 'video pertama di youtube' 😄
774,I don't know How Can we ? 🤔
775,Your video is first video on YouTube platform.
776,Не заметил как прошло уже 20 лет...
777,20ane pour beautiful vedeo
778,When HE get 210 million views but when IIII win a 20 v 1 i LOSE AURAAA WOOWWWW
779,“They have really really long trunks and thats cool”🤡
780,Awesome
781,Fede Valverde
782,bom dia gurizada do grupo
783,5K subscribers 👈 🎉🎉🎉
784,"😂😂There are still a lot of people watching this in 2025
이 영상 2025년도에 보는 사람들 많다ㅋㅋㅎㅋ"
785,Happy 20 years YouTube
786,How old he is now?
787,Time really flies... Its been two decades since this masterpiece
788,"@jawed, you should do a 20 years later video"
789,Thats cool 👍
790,happy belated birthday
791,HE IS BACK ONLINE!!!
792,나님 다녀감
793,It's been 20 years can you make any new video?
794,Anyone in 2025 man is now me
795,Hello to the legend
796,Goat
797,ナイス
